ISELL_ORDER_NUMBER,PICK_ID,ARTNO,ARTNAME_UNICODE,ORDER_TYPE,PICK_AREA
1347243591,60347,40180805,ODENSVIKwash-basinsingle83x49x6,Customer,FullServeinternal
1347243591,60347,10304355,GONNmirrorcabw2drs80x14x96mirrorglass,Customer,FullServeinternal
1350879015,60349,10205614,UTRUSTAshelf60x37white2-p,Customer,FullServeinternal
1350869241,60350,70290360,SKUBBNstorcase93x55x19white,Truck,Markethall
1350869241,60351,40318978,BORGHAMNhandle426mm2-p,Truck,SelfServe
1350869241,60352,214505,KOMPLsoftclsnghinge3-p,Truck,FullServeinternal
1350869241,60352,10277984,KOMPLshelf100x58wsoeff,Truck,FullServeinternal
1350869241,60352,20201724,PAXwrdfrm50x58x201whitestainedoakeffect,Truck,FullServeinternal
1350869241,60352,40201723,PAXwrdfrm100x58x201whitestainedoakeffect,Truck,FullServeinternal
1350869241,60352,60473015,BERGSBOdoor50x195wsoeff,Truck,FullServeinternal
1350869241,60352,70246348,KOMPLNdrawer100x58wsoeff,Truck,FullServeinternal
1350869241,60352,70277981,KOMPLshelf50x58wsoeff,Truck,FullServeinternal
1350869241,60352,80256940,KOMPLclothesrail100darkgrey,Truck,FullServeinternal
1350869241,60352,80331930,HEIMdoor50x195mirrorglass,Truck,FullServeinternal
1350804330,60353,10246308,KOMPLNdrawer50x58white,Customer,FullServeinternal
1350804330,60353,30277959,KOMPLshelf50x58white,Customer,FullServeinternal
1352318209,60354,30281739,BYNNbodypuffmulticolour3-p,Collect,Markethall
1352318209,60355,10293564,STUBBARPlegwhite2-p,Collect,SelfServe
1352318209,60355,50293604,BESTsupportingleg10grey,Collect,SelfServe
1352318209,60356,30277959,KOMPLshelf50x58white,Collect,FullServeinternal
1352318209,60356,80214568,PAXwrdfrm50x58x236whiteN,Collect,FullServeinternal
1352318480,60357,40295528,BESTshelf56x36black-brown,Truck,SelfServe
1352318480,60357,60293566,STUBBARPlegblack-brown2-p,Truck,SelfServe
1352318480,60357,70490948,BJRKVIKENdoor60x64brownstainedoakveneer,Truck,SelfServe
1352318480,60357,80261258,BESTsoftclsng/push-openhinge2-p,Truck,SelfServe
1352318480,60357,90245946,BESTframe60x40x192black-brown,Truck,SelfServe
1352318619,60358,296313,SINDVIKglsdr60x64black-brown/clearglass,Truck,SelfServe
1352318619,60358,351248,BESTNdrwrfrm60x25x40black-brown,Truck,SelfServe
1352318619,60358,40291667,LAPPVIKENdoor/drawerfr60x38black-brown,Truck,SelfServe
1352318619,60358,40291672,LAPPVIKENdrawerfrt60x26black-brown,Truck,SelfServe
1352318619,60358,40295528,BESTshelf56x36black-brown,Truck,SelfServe
1352318619,60358,40296311,SINDVIKglsdr60x38black-brown/clearglass,Truck,SelfServe
